tanggal,curah_hujan_mm,suhu_c
2020-01-01,5.659954434269624,27.608286289314456
2020-01-02,1.284652680366249,27.09249432953327
2020-01-03,5.404120503797095,26.61554325387434
2020-01-04,10.489846557450106,27.80054256884177
2020-01-05,9.054324044631478,27.87392317622961
2020-01-06,18.47545280911607,29.057079843994668
2020-01-07,1.3372572858898288,27.638029482725543
2020-01-08,0.22863924315561768,27.296887179026726
2020-01-09,3.3757404982594075,26.602460653768432
2020-01-10,12.454336182358364,27.057881668988596
2020-01-11,10.399843868636843,25.44238020185513
2020-01-12,14.955529614416815,28.53491695542067
2020-01-13,12.144699377788392,27.756759329543684
2020-01-14,7.104039540031054,28.25884627354139
2020-01-15,7.628142788393326,26.560753025819164
2020-01-16,12.481949552598959,27.064596574666272
2020-01-17,2.0209039456133606,27.88380910494262
2020-01-18,4.632831292920745,27.91831826022621
2020-01-19,8.054973921481968,27.501491627698613
2020-01-20,1.3796882051535513,25.917338044832466
2020-01-21,10.77331905282498,27.36665331555358
2020-01-22,2.182692741904208,27.387204303973412
2020-01-23,10.382376196481268,27.173585397979576
2020-01-24,6.124986353848929,28.379305742703487
2020-01-25,8.70048546408197,28.896585839338965
2020-01-26,7.141223317576232,27.321175260139526
2020-01-27,1.8823803778869177,26.707548115417985
2020-01-28,15.75655020338899,27.842391950006093
2020-01-29,6.424690566698766,28.67477254882556
2020-01-30,4.349453713368431,29.129533857881498
2020-01-31,12.70960594831841,29.852606716592184
2020-02-01,11.00711126470232,28.309756688595805
2020-02-02,4.6259311548015605,27.22829355486764
2020-02-03,0.14464712018444015,29.440912421208736
2020-02-04,20.687478617842444,28.685596024860473
2020-02-05,10.525763617605694,28.982938006901417
2020-02-06,7.576440890716583,28.558707261035533
2020-02-07,11.715723748910724,26.623895599957915
2020-02-08,11.147824100822818,29.33970222618685
2020-02-09,11.511342451456525,28.147237034674365
2020-02-10,1.7688411779532465,27.62681688447926
2020-02-11,16.770649996069587,29.393812609138823
2020-02-12,0.9839953141807882,29.137307862149605
2020-02-13,14.689085327734142,29.836098426787686
2020-02-14,7.34069170019569,29.174645187328483
2020-02-15,18.578711168007615,27.69900377625181
2020-02-16,1.891105389547962,30.520790548076935
2020-02-17,10.571391696476086,30.33983987601257
2020-02-18,11.758652537757342,28.532374696165583
2020-02-19,2.4099145853783783,29.856716382969278
2020-02-20,5.090017699450074,29.71378316022134
